survey_id,customer_id,nps_score,survey_date,plan_type,contract_type,segment,feedback_category,feedback_text
SV_C-0784_1,C-0784,3,2024-11-03,Starter,Monthly,detractor,Billing,"Since we signed up on the starter plan, the billing portal has been confusing and the critical outage last month left us without phone service for hours. Even though usage is low, the lack of clear communication makes us consider a different provider."
SV_C-0784_2,C-0784,1,2024-11-12,Starter,Monthly,detractor,Billing,"Now that the platform’s performance has slipped even further, the critical incident we experienced feels like a pattern rather than an exception. We’re stuck with a system that barely works and the billing statements still contain errors, so we’re actively looking for alternatives."
SV-00615,C-0785,7,2024-08-30,Enterprise,Monthly,passive,General,"In practice the service works well, but billing alerts could be clearer to avoid surprise fees."
SV-00616,C-0785,8,2024-04-09,Enterprise,Monthly,passive,Feature Request,"Actually the routing feature has become indispensable for our support desk, handling thousands of calls each day without a hitch. The video conferencing stability also impresses, especially during cross‑regional meetings where lag used to be a problem. However, we would love a one‑click transfer option that keeps the agent in the same screen, as the current workflow adds extra clicks. Additionally, the reporting dashboard could surface real‑time agent performance metrics rather than daily summaries. Overall, the platform is solid, but these enhancements would push it from good to great."
SV-02715,C-0786,2,2024-09-19,starter,Annual,detractor,Onboarding,"Because the setup was confusing and technical glitches persisted, we plan to cancel before renewal."
SV-02777,C-0787,1,2024-12-06,Professional,Monthly,detractor,Account,"Honestly, this platform crashed during a crucial client call and we lost the deal, so we’re done."
SV-02778,C-0787,1,2024-03-10,Professional,Monthly,detractor,Technical,"We've paid for a professional plan for over a year and the call quality is terrible, making us consider a switch."
SV-03767,C-0788,7,2024-02-25,Professional,Monthly,passive,Technical,"I can't believe the system went down mid‑conference; it's wasted our time and money."
SV-02814,C-0788,8,2024-07-15,Professional,Monthly,passive,Onboarding,"The onboarding process never really got us up to speed, and the UI feels clunky for our small team. We also had a critical outage that took days to resolve, which makes us question staying on this plan."
SV-03021,C-0789,1,2024-11-05,Starter,Monthly,detractor,Feature Request,"Despite using most of the features, the call routing logic is still too rigid for our workflow. A more flexible rule engine would make the platform worth the cost."
SV-04248,C-0790,4,2024-09-15,Starter,Monthly,detractor,Feature Request,"Our team relies on the video rooms daily and the reliability has been solid. It would be nice to see native integration with our CRM to pull contact info automatically."
SV-03022,C-0791,8,2024-01-23,Starter,Monthly,passive,Feature Request,"When we schedule group calls, the calendar sync works flawlessly, which saves us a lot of time. The only thing missing is a quick‑share screen annotation tool during meetings."
SV-02901,C-0791,6,2024-07-13,Starter,Monthly,detractor,Technical,"Since we switched to this platform, our call center agents have been using the routing feature daily and have seen a 15% drop in average handling time. The call quality remains crystal clear even during peak hours, and the analytics dashboard gives us real‑time insights we never had before. However, the messaging app still lags on mobile devices, causing occasional missed chats. Overall, the system is reliable, but a smoother mobile experience would round it out."
SV-02900,C-0792,9,2024-08-31,Professional,Annual,promoter,General,"Overall, our support team loves the unified inbox; it consolidates phone, chat, and video into one pane, which has boosted our response speed. The video conferencing never drops, and the screen sharing is buttery smooth, even with large files. Our agents appreciate the auto‑dialer that pulls leads directly from our CRM, cutting down manual entry. The only hiccup is the occasional delay in call recording uploads, but it's a minor inconvenience compared to the gains."
SV-04247,C-0792,7,2024-06-21,Professional,Annual,passive,General,"Finally, after a year of using the service, I can say it exceeds expectations across the board. The uptime has been impeccable, and the call quality is consistently crystal clear, which impresses our clients. Integration with our ticketing system automatically creates a log of every interaction, saving us countless hours. The support team responds within minutes for critical issues, making us feel truly valued. I’ve already recommended it to two partner firms who are now onboarding."
SV-00144,C-0793,2,2024-08-15,Starter,Monthly,detractor,Billing,"Honestly, the constant billing errors have been a nightmare and we’ve lost precious client time trying to sort them out. The platform’s call quality is spotty, dropping in the middle of sales calls, which has cost us deals. Support finally fixed the invoice issue, but the critical ticket took weeks and we still got charged twice. We’re about to move to a competitor who guarantees stable pricing and uptime. I’m done wasting money on this service."
SV-02041,C-0794,7,2024-08-27,Professional,Annual,passive,Billing,"While the overall call routing works well for our agents, the recent payment failure was frustrating and delayed our renewal. It would help to have clearer notifications before a card is declined so we don’t lose access."
SV-00116,C-0795,3,2024-10-07,Professional,Monthly,detractor,Billing,"After months of battling billing inconsistencies, we decided to cancel our subscription. The invoices keep showing extra fees that never get explained, and the support team never follows up. We’re looking for a provider with transparent pricing."
SV-00117,C-0795,2,2024-03-18,Professional,Monthly,detractor,Billing,"We have been stuck with recurring overcharges for the past two months, and each time we raise a ticket it disappears without a resolution. The critical ticket we opened about a duplicated invoice is still open, and the lack of response feels like a slap in the face. Meanwhile, call quality continues to degrade, with echo and latency that make client conversations impossible. Our team has already started the process of migrating to another unified communications platform because we can’t afford these ongoing issues. It’s disappointing to see a product we once trusted fall apart."
SV-03931,C-0796,8,2024-10-17,Professional,Monthly,passive,Feature Request,"The platform is solid for daily calls, but we wish there were more intuitive shortcuts to launch video meetings from the messaging app. Adding a one‑click join button would save our agents time."
SV-03932,C-0796,8,2024-03-19,Professional,Monthly,passive,Feature Request,"Even though our call center runs smoothly, we still struggle to get our newer agents to adopt the video conferencing tools. The current UI feels clunky, and there’s no quick way to switch from a chat to a video call without navigating multiple menus. If you could streamline the workflow with a unified “start meeting” button inside the chat window, it would boost adoption dramatically. Also, better reporting on meeting usage would help us justify the investment to leadership. We hope these enhancements are on the roadmap soon."
SV-00425,C-0797,1,2024-08-06,professional,Monthly,detractor,Billing,"Billing errors keep piling up and we’re fed up."
SV-00426,C-0797,1,2024-02-21,professional,Monthly,detractor,Billing,"Our experience with the billing system has been a disaster from day one. Every month we receive an invoice that includes hidden fees, and the support team has never provided a clear explanation. The critical ticket we raised about a $500 overcharge remains unresolved, and we’re forced to manually reconcile our accounts. Because of these constant issues, we’ve already started the migration to a more reliable provider. It’s unacceptable for a business‑critical service to cause this much financial chaos."
SV-00853,C-0798,9,2024-10-29,Enterprise,Annual,promoter,General,"I’m thrilled with how reliable the call quality has been across our international offices, and the video conferencing features have become a daily staple for our teams. Our agents use the routing feature every day, and it has cut average handling time by 15 %. The integration with our CRM works flawlessly, pulling call logs instantly. Even though a few billing tickets remain open, the support team has been responsive and transparent about the resolutions. I’d gladly recommend this platform to any growing enterprise."
SV-01710,C-0799,6,2024-08-26,Enterprise,Monthly,detractor,Feature Request,"Overall, the platform meets basic needs but lacks the advanced analytics we were hoping for. Adding customizable dashboards for call center metrics would make a big difference for our reporting."
SV-02349,C-0800,2,2024-12-01,Professional,Monthly,detractor,Billing,"Honestly, after months of billing errors and poor support, we finally cancelled and moved to a competitor."
SV-00240,C-0801,8,2024-02-19,Starter,Monthly,passive,Technical,"While the call quality has been solid and the UI intuitive, we did experience a brief outage last quarter that disrupted our call center. It was resolved quickly, but a more robust alert system would help. Otherwise, the platform meets our needs."
SV-00239,C-0801,7,2024-09-09,Starter,Monthly,passive,Feature Request,"Overall, the team messaging feels seamless and integrates well with our CRM. I'd love to see a native whiteboard feature for video calls, but it's not a deal‑breaker."
SV-04070,C-0802,8,2024-07-09,enterprise,Monthly,passive,Technical,"Our agents use the advanced routing feature daily and the call quality stays consistent even during peak hours. The only thing we wish for is a better way to export call analytics without pulling multiple reports."
SV-03765,C-0803,9,2024-09-23,Starter,Monthly,promoter,General,"Wow! The video conferencing has been crystal clear and the instant screen‑share has boosted our remote collaborations dramatically."
SV-00667,C-0804,4,2024-12-20,Enterprise,Monthly,detractor,Account,"I’m disappointed that after nearly three years we’re still wrestling with account provisioning delays. Our staff had to manually re‑assign extensions after a recent system upgrade, which cost us valuable time. The support team finally fixed it, but only after several escalations and a critical outage that left our call center down for an hour. Given the ongoing friction, we’re seriously evaluating other providers."
SV-03063,C-0805,3,2024-03-02,Starter,Monthly,detractor,Billing,"The billing glitches have been relentless – we were overcharged twice and each time the correction took weeks. Even though we barely used the platform, the constant invoice errors made it feel like a waste of money. Our attempts to get a clear explanation fell flat, and the support tickets never really resolved the root cause. After this experience we decided to terminate the service and move on."
SV-03062,C-0805,2,2024-09-04,Starter,Monthly,detractor,Billing,"After the first survey I mentioned the same billing problems, but nothing improved. The latest invoice still shows fees for features we never activated, and the support portal keeps looping us back to generic responses. It feels like the company doesn’t care about fixing basic billing accuracy. We’ve already signed up with another vendor, so there’s no point in continuing this dialogue."
SV-03272,C-0806,2,2024-12-04,Starter,Annual,detractor,Billing,"Payment failures kept popping up, and every time we had to chase support just to get the account re‑activated."
SV-01045,C-0807,6,2024-11-09,Starter,Monthly,detractor,Billing,"We've noticed intermittent payment failures that delay our subscription renewal, which is frustrating for a service we rely on daily. The platform itself works fine, but the billing hiccups make us hesitant to fully commit."
SV-03380,C-0808,8,2024-06-10,Starter,Annual,passive,Feature Request,"Overall the platform works well for our remote teams, but the integration with our CRM feels clunky and requires manual steps. A smoother, native sync would save us a lot of time."
SV-03379,C-0808,9,2024-07-24,Starter,Annual,promoter,General,"Fantastic experience – our support team always resolves issues in minutes."
SV-00705,C-0809,9,2024-05-06,Enterprise,Annual,promoter,Technical,"Our agents use the routing feature daily and it has cut average handling time by 15 %. The call quality is consistently clear, even during peak hours, which keeps our customers satisfied. We did encounter a single payment failure last month, but the billing team cleared it quickly. Support responded to a critical incident within an hour, which impressed us. Overall, the platform feels robust and scales with our growing call center."
SV-00704,C-0809,8,2024-08-23,Enterprise,Annual,passive,Feature Request,"While the system handles high call volumes reliably, we would love an option to customize the queue timeout per department. It would let us fine‑tune the customer experience without workarounds."
SV_C-0810_1,C-0810,3,2024-11-30,Enterprise,Monthly,detractor,Technical,"I’ve been struggling with frequent call disconnects that our technical team can’t pinpoint. A critical outage last month took down our entire inbound line for several hours, and the support ticket remained unresolved for days. Because of these issues we decided to migrate to another provider and have already started the transition. The onboarding never really got us past the basics, leaving us under‑trained. Frankly, the platform failed to meet the reliability we paid for."
SV_C-0810_2,C-0810,2,2024-12-03,Enterprise,Monthly,detractor,Technical,"This platform has caused us to lose several key clients due to constant call drops and no resolution."
SV-03860,C-0811,6,2024-02-26,Enterprise,Annual,detractor,Billing,"Currently the service is stable, but the recent billing hiccups made it hard to keep our budget on track. We also miss some of the newer UI updates that could help us stay engaged after a long inactivity stretch."
SV-03859,C-0811,8,2024-10-12,Enterprise,Annual,passive,Feature Request,"Nice overall performance, especially the video quality during our weekly board meetings. It would be great if the chat history could be exported for compliance audits."
SV-00356,C-0812,4,2024-05-30,Starter,Monthly,detractor,Onboarding,"After months of intermittent audio glitches, we finally gave up on trying to make the system work for our sales team. The support tickets piled up, and many of the technical issues stayed open, which felt like we were paying for a broken product. I’ve already canceled the contract and am in the process of moving to a competitor. The onboarding process was rushed and never covered the advanced routing features we needed. It’s disappointing to see such potential wasted."
SV-00355,C-0812,1,2024-11-21,Starter,Monthly,detractor,Technical,"Terrible experience – the platform constantly drops calls, and the UI freezes during video conferences, making it impossible to conduct client meetings. We reported these problems multiple times, but the critical tickets never received a proper fix, and the support responses were generic. Because of the ongoing failures we lost three major deals, directly impacting our revenue. I’ve already terminated our account and am advising the team to avoid this service. It feels like the company doesn’t care about fixing core functionality."
SV-00797,C-0813,9,2024-03-19,Starter,Monthly,promoter,General,"Honestly, our team has been thrilled with the crystal‑clear call quality and the seamless video handoffs between the phone system and our CRM. The call routing rules we set up have cut average wait times by about 20%, which our agents notice every shift. Even though we don’t log in every day, the mobile app keeps us reachable and the chat history stays perfectly synced. The onboarding was smooth, and the support docs have saved us countless minutes. We’ve already recommended the platform to a partner company."
SV-00796,C-0813,8,2024-07-19,Starter,Monthly,passive,Feature Request,"Overall the platform works well for our daily calls and messaging, but the reporting dashboard feels a bit clunky when we try to filter by team performance. A quick export to CSV that preserves the formatting would make our weekly reviews much faster."
SV-04091,C-0814,9,2024-10-29,Professional,Monthly,promoter,Billing,"Fantastic job on the billing side—every invoice has been spot‑on and the support team cleared my questions within minutes."
SV-04092,C-0814,9,2024-03-21,Professional,Monthly,promoter,Billing,"We continue to be impressed by how transparent the billing process is, especially after the recent price adjustment which was communicated clearly. The invoices break down each service line, making it easy for our finance team to allocate costs. When we had a question about a charge, the billing specialist responded instantly and even walked us through the usage logs. The fact that critical tickets are prioritized so well gives us confidence during peak months. Overall, the financial side feels as reliable as the call quality."
SV-00235,C-0815,3,2024-09-10,starter,Monthly,detractor,Account,"I’m really disappointed with how my account manager disappeared after the first month, leaving me without a clear point of contact. My attempts to update the billing address have bounced back with generic replies, and the unresolved ticket still sits open. The platform itself works fine, but without proper account support I’m questioning the value we’re getting. Honestly, I’m considering moving to a competitor that offers more hands‑on service. If the situation doesn’t improve soon, we’ll have to cancel."
SV-02018,C-0816,4,2024-08-10,Starter,Annual,detractor,Account,"The decision to end our contract was driven by the lack of a dedicated account rep and repeated billing glitches that never got resolved. Even though the technical side was stable, the constant need to chase account issues drained our resources. We’ve already transferred our numbers to another provider."
SV-02019,C-0816,1,2024-03-22,Starter,Annual,detractor,Technical,"After the critical outage last month crippled our call center for hours, I’m fed up with a platform that can’t stay online."
SV-00275,C-0817,8,2024-07-08,Starter,Annual,passive,Feature Request,"While we’re happy with call quality and the intuitive UI, the lack of a built‑in call recording archive forces us to use a third‑party tool. Adding native storage for recordings would streamline our workflow and reduce costs."
SV-03024,C-0818,3,2024-05-27,Starter,Monthly,detractor,Onboarding,"Despite the promise of a quick onboarding, we spent weeks trying to integrate the system with our existing CRM and never got clear guidance. The onboarding specialist was unresponsive, and the few tickets we opened remained unresolved. Our agents ended up using a patchwork of tools, which hurt productivity. I’ve already signed up with another vendor that actually walks you through the setup. It’s a shame because the product could have been great with proper onboarding."
SV-03023,C-0818,1,2024-11-15,Starter,Monthly,detractor,Onboarding,"Our onboarding was a nightmare—no tutorials, no help, and the platform never synced with our email, making the whole experience unusable."
SV-01979,C-0819,1,2024-07-02,Starter,Monthly,detractor,Technical,"Honestly the call quality drops constantly and the platform keeps crashing, so we’re pulling the plug."
SV-03560,C-0820,1,2024-08-15,Starter,Annual,detractor,Billing,"After months of vague invoices and surprise fees, we’ve lost confidence in the service. The billing portal is confusing, and support takes forever to clarify charges. We’re actively looking for a more transparent provider."
SV-00023,C-0821,1,2024-05-12,Starter,Monthly,detractor,Billing,"We've tried to make this work for over a year, but the recurring billing errors keep surfacing despite multiple tickets. Each time we call, the response is a generic apology and a promise that never materializes. The integration with our CRM still fails to sync call logs, which hurts our reporting. On top of that, the onboarding never covered these quirks, leaving our team frustrated. At this point we’re planning to migrate to a competitor that actually respects its customers."
SV-00022,C-0821,1,2024-07-24,Starter,Monthly,detractor,Billing,"I’m tired of the constant overcharges and the fact that critical tickets sit unresolved for weeks. The support team finally fixed one issue, but it took far too long. We’re ready to cancel once the contract ends."
SV-02253,C-0822,1,2024-10-11,Professional,Monthly,detractor,Technical,"The platform’s uptime is a joke; we’ve lost calls during peak hours and can’t justify staying."
SV-01921,C-0823,2,2024-10-09,Starter,Annual,detractor,Billing,"Our experience has been a series of billing surprises that feel like a bait‑and‑switch. Each month a new hidden surcharge appears, and the support tickets we open are either closed without resolution or escalated to a dead end. The call routing feature, which we rely on heavily, glitches and drops calls without warning. Even though the technical side works okay, the financial side is a nightmare. We’re seriously considering moving to a provider with transparent pricing."
SV-03377,C-0824,4,2024-03-18,Starter,Monthly,detractor,Technical,"Frankly, the call routing logic often misroutes inbound calls, forcing our agents to waste time correcting them. The video conferencing freezes mid‑meeting, which is unacceptable for client presentations. While the UI is clean, the reliability issues keep us from recommending it."
SV-03376,C-0824,2,2024-07-20,Starter,Monthly,detractor,Technical,"Seriously, the platform was decent when we started, but over the past months it’s become unreliable. Critical tickets now sit open far longer than before, and the call quality has degraded. We feel the service is sliding downhill and we’re looking elsewhere."
SV-01978,C-0825,7,2024-09-01,Professional,Monthly,passive,Feature Request,"Overall we’re pleased with how the unified messaging and video tools keep our remote teams connected. The call center routing works well for most of our volume, and the integration with Slack saves us time. However, the analytics dashboard could use more customizable reports. Occasionally the video call latency spikes, but it’s not a deal‑breaker. We’d love to see a feature that allows bulk user provisioning to speed up onboarding new hires."
SV-03696,C-0826,1,2024-10-04,Enterprise,Monthly,detractor,Technical,"Currently the platform is down almost daily, and when it’s up the call quality is terrible. Our agents lose precious minutes each shift due to dropped calls and echo. The support team’s response time is sluggish, and the few tickets that were closed left the core issue untouched. We’re forced to run parallel systems just to stay operational."
SV-00171,C-0827,2,2024-08-20,Professional,Monthly,detractor,Technical,"Honestly the call drops are ruining our client meetings and we’ve already moved to a competitor."
SV-00228,C-0828,3,2024-12-28,Starter,Monthly,detractor,Feature Request,"We tried to set up the call routing but the UI is clunky and the documentation is missing key steps. The integration with our CRM never synced, which forced us to handle calls manually, and we’re now considering other platforms."
SV-00229,C-0828,3,2024-05-07,Starter,Monthly,detractor,Feature Request,"After our initial feedback we hoped the missing queue management would be fixed, but nothing changed. The platform still lacks a simple way to prioritize VIP callers, and the reporting dashboards are still inaccurate. Support responded quickly but the fixes never materialized, so our agents spend extra time juggling tickets. We’ve already started evaluating alternatives because the promised roadmap feels like empty talk."
SV-02225,C-0829,4,2024-03-26,Enterprise,Monthly,detractor,Onboarding,"Initially the onboarding process was half‑finished; we never got the full configuration walkthrough for the call center features. Because of that, our supervisors can’t set up proper agent groups and we’re missing out on expected efficiencies. We’re looking at other solutions that provide a hands‑on setup."
SV-02224,C-0829,2,2024-10-08,Enterprise,Monthly,detractor,Account,"I'm fed up with the constant outages and the fact that we’ve already signed a new contract elsewhere."
SV-02012,C-0830,2,2024-07-08,Starter,Monthly,detractor,Technical,"Our call center experienced a complete blackout last week when the platform went down for hours, leaving us with zero inbound traffic and angry customers. The outage triggered a critical ticket that sat unresolved for days, and the support team kept sending generic replies. We’ve lost several high‑value contracts because we couldn’t guarantee service reliability. The billing still shows the full month’s fee, which feels like a slap in the face after this disaster. At this point we’re seriously questioning the value of staying with this vendor."
SV-04128,C-0831,10,2024-10-26,Enterprise,Annual,promoter,General,"I’m genuinely impressed with how stable the service has been, especially during our peak hours where call quality never dips. Our agents rely on the routing feature every day, and the video conferencing integration works flawlessly with our calendar system. The support team proactively shares best‑practice tips, and the uptime reports give us confidence for client SLAs. It’s clear the platform was built for enterprises, and we’ve already recommended it to two of our partner firms."
SV-01984,C-0832,6,2024-10-16,Professional,Monthly,detractor,Technical,"It works okay but the audio sometimes cracks during group calls, which is disappointing given the price. We expected more robust analytics after the recent upgrade, yet the dashboards still lag behind real‑time. A quick fix or clearer guidance would make the experience acceptable."
SV-01985,C-0832,8,2024-06-18,Professional,Monthly,passive,Feature Request,"Overall the system meets our needs, but it would be great to have a native screen‑sharing option in video meetings without using third‑party tools. Adding that would streamline our workflow even further. Otherwise, we’re satisfied with the call routing and messaging features."
SV-03115,C-0834,9,2024-08-02,professional,Monthly,promoter,General,"We've been using the platform for over two years, and our agents rely on the smart call routing every day. The video conferences stay crystal‑clear even during peak hours, which keeps our remote sales team productive. Integrations with our CRM have been seamless, and the analytics dashboard gives us actionable insights without a steep learning curve. Support has been responsive, resolving the few hiccups we’ve had within hours. Overall, it feels like a reliable backbone for our communications."
SV-00209,C-0835,4,2024-01-14,Professional,Monthly,detractor,Technical,"The call quality drops noticeably during busy periods, and our team often hears echo or dropped audio. We also struggle to stay logged in, as the platform logs us out after a few weeks of inactivity, which adds friction to daily use. While support answered quickly, the underlying technical glitches remain unresolved."
SV-00208,C-0835,5,2024-08-21,Professional,Monthly,detractor,Technical,"Honestly, the platform feels functional but nothing stands out; we expected more robust reporting features."
SV-03733,C-0836,0,2024-12-19,Starter,Annual,detractor,Billing,"After months of paying for a starter plan, the constant billing errors finally pushed us over the edge. We received three critical notices about overdue payments that were never accurate, and each time the support team took days to respond. The call quality itself was mediocre, but the biggest loss was the $5,000 we spent on a service that kept failing. Our account was placed on hold while we tried to sort the discrepancies, and we decided to move to a competitor that offers transparent invoicing. Honestly, we feel the platform wasted both time and money."
SV-03830,C-0837,3,2024-10-29,professional,Monthly,detractor,Billing,"Our team has been battling unresolved billing disputes for weeks, and the critical tickets keep getting closed without a solution. The platform’s video features work, but the constant payment failures make it impossible to justify the cost. Given these issues, we’ve already started the process of switching to a provider with more reliable billing."
SV-00912,C-0838,2,2024-03-13,Enterprise,Annual,detractor,Billing,"Billing errors kept popping up, and after three failed payments we finally canceled."
SV-00911,C-0838,0,2024-08-09,Enterprise,Annual,detractor,Billing,"I can't believe how many times our account was hit with incorrect charges before we even got a chance to use the service properly. Three payment failures landed on our credit report, and each time the support reps gave vague explanations that never fixed the root cause. The platform’s call routing is decent, but the billing nightmare makes any benefit irrelevant. We’ve already terminated the contract and are moving to a vendor that respects invoicing accuracy. This experience has completely eroded our trust."
SV-03338,C-0839,8,2024-11-20,Professional,Annual,passive,Feature Request,"Overall the system works well for our scattered teams, and the video meetings have been reliable. It would be great to see a native integration with our project‑management tool so we don’t have to toggle between apps."
SV-03194,C-0840,7,2024-09-05,Professional,Annual,passive,Feature Request,"While the call center features meet most of our needs, we sometimes wish the queue analytics could be exported in CSV format directly. Adding that option would make reporting to senior management much faster."
SV-03195,C-0840,8,2024-02-11,Professional,Annual,passive,Feature Request,"The platform has become a central hub for our communications, especially with the team messaging and screen‑share tools that rarely lag. Our agents appreciate the intuitive call routing, and the uptime has been solid throughout the year. We do notice, however, that the mobile app still lacks push notifications for missed calls, which can cause delays. Introducing customizable notification settings would close that gap. Aside from that, we’re happy to continue using the service and recommend it to peers."
SV-03429,C-0841,9,2024-09-14,Starter,Monthly,promoter,General,"Honestly, the platform has become the backbone of our communications, delivering crystal‑clear call quality and reliable video meetings every day. Our team loves the intuitive UI and the seamless integration with our CRM, which has cut onboarding time in half. Even though we had a couple of technical tickets that took a bit longer, the support team finally resolved them and kept us informed. The call routing feature is used by our agents on every shift, and it’s noticeably improved our response times. I’d recommend this solution to any growing business looking for a stable, all‑in‑one communications suite."
SV-00088,C-0842,7,2024-10-27,Professional,Annual,passive,Billing,"While the core calling and messaging features work well, the recent invoice discrepancy was frustrating and took too many back‑and‑forth emails to fix. Our critical ticket finally got addressed, but I’d appreciate a clearer breakdown of charges on the monthly statement. If the billing portal were more intuitive, the overall experience would be spot‑on."
SV-00089,C-0842,8,2024-01-01,Professional,Annual,passive,Feature Request,"Great platform overall, but adding a searchable transcript feature for video calls would make it even better."
SV-00830,C-0843,1,2024-12-22,Enterprise,Monthly,detractor,Feature Request,"I'm done with a system that still lacks basic call queue customization after months of promises."
SV-00831,C-0843,1,2024-03-17,Enterprise,Monthly,detractor,Technical,"After investing heavily in the enterprise plan, we still can’t get the call routing to honor priority rules, which has cost us real business. The platform frequently drops calls during peak hours, and the supposed 99.9% uptime claim feels like a lie. Support tickets have been opened repeatedly, yet none have resolved the core instability. It feels like we wasted both time and money on a solution that never delivered the reliability we were promised. I’ve already moved our operations to a competitor and won’t be looking back."
SV-02310,C-0844,4,2024-11-21,Enterprise,Monthly,detractor,Technical,"We've been using the system for years, but the recent outage that took our call center offline for hours was unacceptable. Given the lack of timely updates and the fact I haven't logged in in weeks, I'm planning to transition to another provider."
SV_C-0845_1,C-0845,7,2024-10-26,Starter,Monthly,passive,Technical,"The video conferencing works smoothly even on low bandwidth, which is a big plus for our remote staff. However, the critical ticket about occasional audio echo still hasn't been closed, and fixing that would make the experience flawless."
SV_C-0845_2,C-0845,7,2024-12-14,Starter,Monthly,passive,Technical,"Our small team relies heavily on the messaging feature, and the mobile app’s push notifications are impressively reliable. The call quality is generally good, but we've noticed occasional lag when screen sharing during meetings. The technical ticket we raised about this lag was escalated, yet we're still waiting for a concrete fix. It would be great if the platform offered a built‑in network diagnostics tool to help us troubleshoot on our own. Overall, it's a solid solution, but those lingering performance quirks keep us from giving it a higher rating."
SV-01140,C-0846,7,2024-11-01,Professional,Annual,passive,Billing,"Billing glitches that caused three payment failures in a row were a real headache and delayed our service renewal. If the payment portal could provide clearer error messages and auto‑retry options, we'd avoid these interruptions."
SV-01141,C-0846,9,2024-04-05,Professional,Annual,promoter,Billing,"Every day our call center handles over 200 inbound calls, and the platform’s routing engine keeps everything flowing without a hitch. After a few hiccups with payment processing earlier this year, the finance team finally got the issue sorted and the system now renews smoothly. The support staff were proactive, reaching out to confirm the billing fix and even offering a credit for the inconvenience. I especially appreciate the detailed usage analytics that help us fine‑tune staffing levels. This service has become indispensable, and I'll gladly recommend it to peers."
SV-04171,C-0847,3,2024-07-03,Enterprise,Monthly,detractor,Technical,"Honestly, after two years we finally hit a wall with the call routing reliability – the system drops calls during peak hours and our customers notice the lag. The support team took days to respond, and each time the fix was just a temporary patch. We also got hit with unexpected overage fees that were never explained up front. It feels like we wasted a lot of money on a platform that can’t keep up with our call volume. We’re in the process of moving to another provider next month."
SV-04172,C-0847,2,2024-06-16,Enterprise,Monthly,detractor,Billing,"Frankly, the billing errors have been a nightmare; we were charged twice for the same month and it took weeks to get a correction. On top of that, the video conferencing quality degrades to choppy audio whenever we have more than five participants. Our sales team can’t rely on the platform for demos, and we’ve lost deals because of the instability. The support tickets are logged but never resolved, leaving us feeling stuck. We’ve decided to cancel the contract and look for a more reliable solution."
SV-03939,C-0848,3,2024-11-21,Starter,Annual,detractor,Technical,"After months of dealing with frequent call drops and a flaky chat integration, we finally gave up on using the system regularly. The critical outage we experienced last quarter took our small team offline for hours, and the follow‑up was just a generic apology. We’re already evaluating alternatives and may terminate the account soon."
SV-03940,C-0848,2,2024-03-26,Starter,Annual,detractor,Account,"We have already terminated the service after repeated billing glitches and unresponsive support."
SV-01151,C-0849,7,2024-05-20,Professional,Monthly,passive,Feature Request,"Our agents love the video call quality and the ability to switch between phone and video on the fly. However, it would be great if the CRM integration could sync call notes automatically. Other than that, the platform meets our needs."
SV-01150,C-0849,6,2024-08-24,Professional,Monthly,detractor,General,"I expected the call analytics to be more detailed, but the dashboards are pretty bare. It feels like we’re paying for features we can’t actually use."
SV-03365,C-0850,3,2024-02-26,professional,Monthly,detractor,Billing,"The recent payment failure on our account triggered a series of alerts that never stopped, and each time we called support we got a different excuse. Billing invoices keep showing extra line items that we never requested, and the errors aren’t corrected even after multiple tickets. On top of that, the call center routing rules often misroute inbound calls, causing long wait times for our customers. Our team has been forced to manually reroute calls, which defeats the purpose of the automation we signed up for. We’re seriously considering moving to a competitor that respects billing transparency and reliability."
SV-03364,C-0850,1,2024-11-04,professional,Monthly,detractor,Billing,"Despite promising a fix, the payment failures keep happening and the support team refuses to take responsibility."
SV_C-0851_1,C-0851,6,2024-09-23,Starter,Monthly,detractor,Account,"While the overall platform is stable, we keep getting random late fees that show up on our monthly statement without explanation. The billing portal is confusing, and it takes several clicks just to see the true usage breakdown. If the invoicing were clearer, we’d feel more comfortable staying."
SV_C-0851_2,C-0851,7,2024-11-25,Starter,Monthly,passive,General,"Overall the system has become a reliable part of our daily workflow, especially the instant messaging that keeps our remote teams in sync. The call quality is clear, and the video meetings rarely suffer from latency. We would appreciate a few more customizable reporting options to better track team performance. Keep up the good work."
SV-01589,C-0852,8,2024-07-10,Starter,Monthly,passive,Feature Request,"Overall the platform feels solid, especially the video rooms that rarely drop. It would be nice to have a deeper integration with our CRM, but otherwise we’re happy."
SV-02815,C-0853,8,2024-08-29,Starter,Annual,passive,Technical,"We've been using the system for over two years and appreciate the call routing capabilities. However, the recent critical incident where calls dropped for an hour was unsettling. On top of that, 18% of our tickets remain unresolved, mainly technical glitches that slow our agents. The support team eventually responded, but the delays cost us time. A more proactive monitoring feature would help prevent this."
SV-03466,C-0854,3,2024-08-25,Professional,Monthly,detractor,Billing,"The repeated payment failures and spotty call quality make us consider moving to a different provider."
SV-03467,C-0854,2,2024-03-11,Professional,Monthly,detractor,Technical,"After months of relying on the platform for our call center, the recent payment failures and constant call quality drops forced us to rethink our setup. Our agents, who handle over 100 calls daily, keep experiencing echo and dropped connections, which hurts customer satisfaction. The login inactivity warning didn't help, as we couldn't even access the dashboard for weeks. Support labeled the issues as low priority, leaving us in the dark during a critical outage. We're now actively evaluating other solutions and may terminate our contract soon."
